TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74540024354647e-30,-4.33420568072473e-56,7.36256040930292e-46,-8.83507249119857e-46,0,0,0,0,0,0,0,0,9.78404376510423e-44,-8.70364663006715e-44,9.27682611640863e-44,-9.27682611510837e-44,6.83588040620116e-44,8.16720935449532e-44,-3.2248014592831e-43,-3.2248014592831e-43
4.36651296554905e-15,-1.74875110507171e-29,-6.92820677793689e-32,-1.33214382734706e-30,1.41248207273397e-30,1.41248207273397e-30,7.24279079336605e-28,7.24279079336605e-28,0,0,0,0,2.77659371302298e-27,2.49780930340572e-27,2.76300175947901e-27,2.48325155573612e-27,9.42801891343234e-29,1.08026160089085e-28,-3.0932220839639e-28,-3.0932220839639e-28
8.7330259310981e-15,-6.99500442028024e-29,-1.39623970370985e-30,-3.98564159027207e-30,5.64992830454621e-30,5.64992830454621e-30,2.89711631735812e-27,2.89711631735812e-27,0,5.44709986254408e-54,5.44709986254408e-54,5.44709986254408e-54,1.09576570878115e-26,1.01235329084282e-26,1.09109989973989e-26,1.00740142634418e-26,2.73215165423261e-28,3.07962808535954e-28,-7.4711802610882e-28,-7.4711802610882e-28
3.05655907588433e-14,-8.56888041479849e-28,-2.68961614054885e-29,-3.70734394384188e-29,6.92116226566424e-29,6.92116226566424e-29,3.5489674888433e-26,3.5489674888433e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,9.89003975244835e-26,5.09126735504478e-24,5.08350820161437e-24,5.09076325352016e-24,5.08297783123809e-24,2.43771185417771e-27,2.68630337612681e-27,-4.86320125439724e-27,-4.86320125439724e-27
5.23981555865885e-14,-2.51820159127506e-27,-8.38379723104681e-29,-1.03195085675408e-28,2.03397424300708e-28,2.03397424300708e-28,1.04296187429481e-25,1.04296187429481e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,3.07690125630232e-25,1.58159525013098e-23,1.57943544346248e-23,1.58145041017679e-23,1.5792833133776e-23,6.7185782217587e-27,7.36240615262013e-27,-1.21911247155277e-26,-1.21911247155277e-26
1.61560979725315e-13,-2.39404026275356e-26,-8.40175364865832e-28,-9.29311042674557e-28,1.9336881427582e-27,1.9336881427582e-27,9.91538059771029e-25,9.91538059771029e-25,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,2.99997872481663e-24,1.54105009954105e-22,1.53910509061097e-22,1.5409153724573e-22,1.53896381926769e-22,5.98684552408805e-26,6.52093531673412e-26,-9.7008345512019e-26,-9.7008345512019e-26
2.70723803864041e-13,-6.72219924747453e-26,-2.38255998742912e-27,-2.58127320931902e-27,5.42958195789149e-27,5.42958195789149e-27,2.78412878171817e-24,2.78412878171817e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,8.43950058828269e-24,4.33503453601659e-22,4.32963202782254e-22,4.33465785219875e-22,4.32923717845918e-22,1.65927574225812e-25,1.80500355399355e-25,-2.62121572122197e-25,-2.62121572122197e-25
8.16537924557671e-13,-6.11520773814031e-25,-2.1885191548171e-26,-2.32287771849165e-26,4.93931100908982e-26,4.93931100908982e-26,2.53273151463773e-23,2.53273151463773e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,7.68456088621415e-23,3.94713646436703e-21,3.94227475741501e-21,3.94679524714958e-21,3.94191720394075e-21,1.48986179848999e-24,1.61861619465851e-24,-2.29212779215433e-24,-2.29212779215433e-24
1.3623520452513e-12,-1.70230427517643e-24,-6.10390038500988e-26,-6.45224363921785e-26,1.37496767437872e-25,1.37496767437872e-25,7.05042227957106e-23,7.05042227957106e-23,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,2.13932548711494e-22,1.09885041283835e-20,1.0974999787799e-20,1.09875550782161e-20,1.09740053665738e-20,4.1365270712928e-24,4.49283341369138e-24,-6.32953415660803e-24,-6.32953415660803e-24
