TIME,AX,AY,AngACC,X,Y,R
0,0,1.30673615416864e-17,-1.53776449275335e-16,77,-148,0
5.74548004963942e-30,-1.07023355382476e-30,1.30673615416863e-17,-1.53776449275336e-16,77,-148,-8.83519521419191e-46
4.36651296554905e-15,-8.17474489027059e-16,-4.0199064470247e-18,-3.29759588536619e-16,77,-148,-1.05568318920807e-30
8.7330259310981e-15,-1.63494897805187e-15,-2.11071744356889e-17,-5.0574272779742e-16,77,-148,-2.87979903771715e-30
3.05655907588433e-14,-5.72232142314231e-15,-1.06543514378307e-16,-1.38565842409418e-15,77,-148,-2.35268681696918e-29
5.23981555865885e-14,-9.80969386817668e-15,-1.91979854319753e-16,-2.26557412037887e-15,77,-148,-6.33847537838391e-29
1.61560979725315e-13,-3.02465560925075e-14,-6.19161554009402e-16,-6.66515260162127e-15,77,-148,-5.50836429076444e-28
2.70723803864041e-13,-5.06834183154365e-14,-1.04634325366975e-15,-1.10647310825619e-14,77,-148,-1.51855851637931e-27
8.16537924557671e-13,-1.52867729409055e-13,-3.182251751532e-15,-3.30626234827387e-14,77,-148,-1.35612251317074e-26
1.3623520452513e-12,-2.55052040467631e-13,-5.31816024866174e-15,-5.50605158753713e-14,77,-148,-3.76106520417858e-26
4.09142264871946e-12,-7.65973595234853e-13,-1.59977027233225e-14,-1.65049977725369e-13,77,-148,-3.37959190845903e-25
6.82049325218761e-12,-1.27689514912599e-12,-2.66772451796717e-14,-2.75039439386774e-13,77,-148,-9.3847673633048e-25
2.04658462695284e-11,-3.83150290544029e-12,-8.00749571867282e-14,-8.2498674486475e-13,77,-148,-8.44359954301916e-24
3.41111992868691e-11,-6.38611063985233e-12,-1.33472668735972e-13,-1.37493404562768e-12,77,-148,-2.34529474306822e-23
1.02337964373573e-10,-1.91591489833783e-11,-4.00461219615015e-13,-4.12467047871671e-12,77,-148,-2.11063060465973e-22
1.70564729460277e-10,-3.19321867793466e-11,-6.67449759048705e-13,-6.87440679392912e-12,77,-148,-5.86278789770965e-22
5.11698554893796e-10,-9.57973675457933e-11,-2.00239228453666e-12,-2.06230866018397e-11,77,-148,-5.27644135313505e-21
8.52832380327315e-10,-1.59662534623176e-10,-3.33733452388884e-12,-3.43717634628138e-11,77,-148,-1.46567429789002e-20
2.55850150749491e-09,-4.78988164670396e-10,-1.00120414285351e-11,-1.03115103562805e-10,77,-148,-1.31910296142033e-19
4.26417063466251e-09,-7.98313452475681e-10,-1.66867411794684e-11,-1.71858369985984e-10,77,-148,-3.66417157816703e-19
1.27925162705005e-08,-2.39493475740656e-09,-5.00601326187174e-11,-5.15573596845889e-10,77,-148,-3.29774598058053e-18
2.13208619063385e-08,-3.9915475043724e-09,-8.34333451752237e-11,-8.59286981359297e-10,77,-148,-9.16038650644044e-18
6.39625900855284e-08,-1.19744828114141e-08,-2.50296723502623e-10,-2.57782625576764e-09,77,-148,-8.24426251663272e-17
1.06604318264718e-07,-1.99572039297598e-08,-4.1715562477385e-10,-4.29631941826316e-09,77,-148,-2.29005027922658e-16
3.19812959160668e-07,-5.98675894033534e-08,-1.25138282356492e-09,-1.28880919321767e-08,77,-148,-2.0609393414955e-15
5.33021600056617e-07,-9.97725902214758e-08,-2.08549747267085e-09,-2.1478704993784e-08,77,-148,-5.72454777930627e-15
1.59906480453636e-06,-2.9921591432111e-07,-6.25436352432498e-09,-6.44141762115871e-08,77,-148,-5.15075428648617e-14
2.66510800901611e-06,-4.9852088492116e-07,-1.04203380308979e-08,-1.07319830454497e-07,77,-148,-1.4304025853467e-13
7.99532403141485e-06,-1.49285718015583e-06,-3.12044795264287e-08,-3.21375673201608e-07,77,-148,-1.28559336409215e-12
1.33255400538136e-05,-2.48327084819161e-06,-5.19066767597366e-08,-5.34583002687429e-07,77,-148,-3.56607299009569e-12
3.99766201658073e-05,-7.36270344753351e-06,-1.53901273336293e-07,-1.58482544563931e-06,77,-148,-3.18149143766639e-11
