TIME,VX,VY,R,Fz_1,Fz_2,Fz_3,Fz_4,omega_1,omega_2,omega_3,omega_4,slip_1,slip_2,slip_3,slip_4,TAU_1,TAU_2,TAU_3,TAU_4,STRA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01289847826697
5.74540024354647e-30,-3.82939468138463e-56,7.36256040921929e-46,-8.83507249128921e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1627874561761e-44,-3.84775364016195e-45,9.276826116428071e-45,-9.27682611527925e-45,2.6924536219615202e-45,1.1298299218633302e-44,-3.2248014592923e-44,-3.2248014592923e-44,3.01289847826698
4.366512965549051e-15,-1.54464492882504e-29,-3.44320876394793e-30,-4.98906982069674e-30,0.0,0.0,7.83263759006277e-28,7.83263759006277e-28,0.0,0.0,0.0,0.0,3.2388754073564398e-28,2.3508534080473e-28,2.84081972441072e-28,1.7931150620644e-28,1.63158121690944e-29,3.68004959376497e-29,-6.80895442375029e-29,-6.80895442375029e-29,3.01289847826699
8.7330259310981e-15,-6.17857971529434e-29,-1.4891946488371398e-29,-1.8613345563657e-29,0.0,0.0,3.13305503603788e-27,3.13305503603788e-27,0.0,6.40295500922355e-54,6.40295500922355e-54,6.40295500922355e-54,1.27787575806791e-27,9.46189960512685e-28,1.12222708571255e-27,7.31346828875753e-28,6.11707109414711e-29,1.30028534404847e-28,-2.23341096202198e-28,-2.23341096202198e-28,3.01289847826698
3.0565590758843304e-14,-7.56876015119599e-28,-1.92218569516728e-28,-2.16262813111447e-28,0.0,0.0,3.83799241923331e-26,3.83799241923331e-26,1.16287882455929e-25,1.16287882455929e-25,1.16287882455929e-25,1.16287882455929e-25,5.5981477350849e-25,5.5595744875743005e-25,5.579568808025351e-25,5.53415361727195e-25,7.13531503849414e-28,1.44258186467776e-27,-2.30702897192382e-27,-2.30702897192382e-27,3.01289847826696
5.23981555865885e-14,-2.22428869748315e-27,-5.696834165533e-28,-6.2979242871186495e-28,0.0,0.0,1.1278998130237301e-25,1.1278998130237301e-25,3.6178452319446603e-25,3.6178452319446603e-25,3.6178452319446603e-25,3.6178452319446603e-25,1.7388991287374102e-24,1.72766413009058e-24,1.73345753640728e-24,1.72023189540433e-24,2.07936946182623e-27,4.1658237581633796e-27,-6.56976704078526e-27,-6.56976704078526e-27,3.01289847826698
1.61560979725315e-13,-2.11461890748233e-26,-5.4590810117477096e-27,-5.93564272738289e-27,0.0,0.0,1.07228808625341e-24,1.07228808625341e-24,3.52739910105417e-24,3.52739910105417e-24,3.52739910105417e-24,3.52739910105417e-24,1.69425327667131e-23,1.68366288744556e-23,1.68909508424045e-23,1.67663023451295e-23,1.96107167273463e-26,3.89423616729961e-26,-6.05692102809738e-26,-6.05692102809738e-26,3.01289847826698
2.70723803864041e-13,-5.9376151060315e-26,-1.53519342066886e-26,-1.6638496726874599e-26,0.0,0.0,3.01086589043701e-24,3.01086589043701e-24,9.92323263568282e-24,9.92323263568282e-24,9.92323263568282e-24,9.92323263568282e-24,4.76598528402283e-23,4.7362979180812304e-23,4.7515094194181e-23,4.71656857629167e-23,5.497899311795369e-26,1.08986113664913e-25,-1.6904490834466101e-25,-1.6904490834466101e-25,3.01289847826698
8.16537924557671e-13,-5.401468850561651e-25,-1.3986803416362801e-25,-1.51107822221582e-25,0.0,0.0,2.7389950411677e-23,2.7389950411677e-23,9.0355684651346e-23,9.0355684651346e-23,9.0355684651346e-23,9.0355684651346e-23,4.33951749697604e-22,4.31255514099448e-22,4.326355615965929e-22,4.2946229732994e-22,4.99374311897525e-25,9.88213084682352e-25,-1.52856722086356e-24,-1.52856722086356e-24,3.01289847826698
1.3623520452512998e-12,-1.5036191590344301e-24,-3.8947052405686404e-25,-4.2050224017493e-25,0.0,0.0,7.624602746234961e-23,7.624602746234961e-23,2.51543610549198e-22,2.51543610549198e-22,2.51543610549198e-22,2.51543610549198e-22,1.2080858072656e-21,1.2005826878911101e-21,1.20442227996616e-21,1.19559173292249e-21,1.38969285859978e-24,2.74912040722257e-24,-4.2499959033453604e-24,-4.2499959033453604e-24,3.01289847826698
