TIME,AX,AY,AngACC,X,Y,R,PSI
0,0,1.30673615416864e-17,-1.53776449275335e-16,77,-148,0,1.5707963267949
5.74540024354647e-30,-9.49267830404953e-31,1.30673615416862e-17,-1.53776449275337e-16,77,-148,-8.83507249128921e-46,1.5707963267949
4.36651296554905e-15,-7.21445001832905e-16,-1.73886570323024e-16,-2.13137413200515e-15,77,-148,-4.98906982069674e-30,1.5707963267949
8.7330259310981e-15,-1.44289000366383e-15,-3.60840502187219e-16,-4.10897181472952e-15,77,-148,-1.8613345563657e-29,1.5707963267949
3.05655907588433e-14,-5.05011501278877e-15,-1.2956101615005e-15,-1.399696022827e-14,77,-148,-2.16262813111447e-28,1.5707963267949
5.23981555865885e-14,-8.65734002186422e-15,-2.23037982080097e-15,-2.38849486416749e-14,77,-148,-6.29792428711865e-28,1.5707963267949
1.61560979725315e-13,-2.66934650664992e-14,-6.90422811711095e-15,-7.33248907066645e-14,77,-148,-5.93564272738289e-27,1.5707963267949
2.70723803864041e-13,-4.47295901098971e-14,-1.15780764131004e-14,-1.22764832768263e-13,77,-148,-1.66384967268746e-26,1.5707963267949
8.16537924557671e-13,-1.34910215308331e-13,-3.49473178882388e-14,-3.69964543025391e-13,77,-148,-1.51107822221582e-25,1.5707963267949
1.3623520452513e-12,-2.25090840475837e-13,-5.83165593553628e-14,-6.17164253197742e-13,77,-148,-4.2050224017493e-25,1.5707963267949
4.09142264871946e-12,-6.75993965849465e-13,-1.75162766570767e-13,-1.85316280278785e-12,77,-148,-3.79135071493866e-24,1.5707963267949
6.82049325218761e-12,-1.12689709044992e-12,-2.92008973585813e-13,-3.08916135025858e-12,77,-148,-1.05353264934337e-23,1.5707963267949
2.04658462695284e-11,-3.38141270185455e-12,-8.76240005655656e-13,-9.26915405582125e-12,77,-148,-9.48521147065543e-23,1.5707963267949
3.41111992868691e-11,-5.6359282939298e-12,-1.46047103271651e-12,-1.54491467083989e-11,77,-148,-2.63497084546122e-22,1.5707963267949
1.02337964373573e-10,-1.69085059643653e-11,-4.38162609288613e-12,-4.6349109176513e-11,77,-148,-2.37164462872516e-21,1.5707963267949
1.70564729460277e-10,-2.81810831515664e-11,-7.30278102783119e-12,-7.72490703200023e-11,77,-148,-6.58799659271088e-21,1.5707963267949
5.11698554893796e-10,-8.45439618390508e-11,-2.19085538241884e-11,-2.31748856168082e-10,77,-148,-5.92928190328005e-20,1.5707963267949
8.52832380327315e-10,-1.40906828445663e-10,-3.65143234899303e-11,-3.86248608900528e-10,77,-148,-1.64702736861238e-19,1.5707963267949
2.55850150749491e-09,-4.22720980265364e-10,-1.09543124859344e-10,-1.15874687582753e-09,77,-148,-1.48232829721041e-18,1.5707963267949
4.26417063466251e-09,-7.04534830062147e-10,-1.82571847963097e-10,-1.93124431486063e-09,77,-148,-4.11757935391062e-18,1.5707963267949
1.27925162705005e-08,-2.11359954866882e-09,-5.47714289488306e-10,-5.79371909152243e-09,77,-148,-3.70581596298754e-17,1.5707963267949
2.13208619063385e-08,-3.522656716565e-09,-9.12854774336531e-10,-9.65617317044585e-09,77,-148,-1.02939141266575e-16,1.5707963267949
6.39625900855284e-08,-1.05678292912037e-08,-2.73852784734467e-09,-2.89681330870998e-08,77,-148,-9.26442887934833e-16,1.5707963267949
1.06604318264718e-07,-1.76128130808873e-08,-4.56415199899842e-09,-4.82795755114564e-08,77,-148,-2.57342716053505e-15,1.5707963267949
3.19812959160668e-07,-5.28348997319872e-08,-1.3691538802202e-08,-1.44829023763172e-07,77,-148,-2.31596584679721e-14,1.5707963267949
5.33021600056617e-07,-8.80522646107932e-08,-2.2817702018003e-08,-2.41365528604666e-07,77,-148,-6.43292131124066e-14,1.5707963267949
1.59906480453636e-06,-2.64068197114052e-07,-6.84301474596761e-08,-7.23853716148723e-07,77,-148,-5.78814466077008e-13,1.5707963267949
2.66510800901611e-06,-4.39965817188659e-07,-1.14011934134434e-07,-1.20601755680528e-06,77,-148,-1.60742076434223e-12,1.5707963267949
7.99532403141485e-06,-1.31767110974271e-06,-3.414588934411e-07,-3.61194848550491e-06,77,-148,-1.44481424429514e-11,1.5707963267949
1.33255400538136e-05,-2.19238534501971e-06,-5.68130817353689e-07,-6.00967629396445e-06,77,-148,-4.00836315835006e-11,1.5707963267949
3.8248948088766e-05,-6.24192245620717e-06,-1.61752286210275e-06,-1.71099498526961e-05,77,-148,-3.28228184037371e-10,1.57079632679489
6.31723561237184e-05,-1.02227674276049e-05,-2.6491204211359e-06,-2.80215058319715e-05,77,-148,-8.89870650591346e-10,1.57079632679488
0.000115619496134402,-1.83659841868037e-05,-4.75939169352958e-06,-5.03398193120877e-05,77.0000000000001,-148,-2.94514220047777e-09,1.57079632679478
0.000168066636145085,-2.61728483927327e-05,-6.78257794176667e-06,-7.17309889604467e-05,77.0000000000003,-148.000000000001,-6.13828953118199e-09,1.57079632679453
0.00024729710620468,-3.76665727046361e-05,-9.7614327651544e-06,-0.000103210783912482,77.000000000001,-148.000000000004,-1.30695576953233e-08,1.57079632679377
0.000326527576264276,-4.85999969859914e-05,-1.2595428639244e-05,-0.000133132109375325,77.0000000000024,-148.000000000009,-2.24120601536336e-08,1.57079632679233
0.000463497631022237,-6.62419596822772e-05,-1.71693836218486e-05,-0.000181340404956752,77.0000000000066,-148.000000000025,-4.39528876854662e-08,1.57079632678779
0.000600467685780198,-8.24148727712304e-05,-2.13642701800091e-05,-0.000225413030897555,77.0000000000141,-148.000000000054,-7.17163869843464e-08,1.57079632677973
0.000817807420749802,-0.000105286136459338,-2.73010912329839e-05,-0.000287434549332394,77.0000000000342,-148.000000000132,-1.27461178873384e-07,1.57079632675811
0.000821422227650235,-0.000105639164141184,-2.73927844538992e-05,-0.00028838812413642,77.0000000000346,-148.000000000133,-1.28501922824069e-07,1.57079632675764
0.000825037034550669,-0.000105991353010751,-2.74842618602314e-05,-0.000289339295237776,77.000000000035,-148.000000000135,-1.29546107928293e-07,1.57079632675718
0.000843111069052837,-0.000107739787135783,-2.79384304447079e-05,-0.000294059284180061,77.0000000000372,-148.000000000144,-1.34818298844957e-07,1.57079632675479
0.000861185103555005,-0.000109467545236907,-2.83872804233962e-05,-0.000298719953817024,77.0000000000396,-148.000000000153,-1.4017507898503e-07,1.5707963267523
0.000951555276065845,-0.000117804894266493,-3.05540189589276e-05,-0.000321156452662279,77.0000000000526,-148.000000000203,-1.68185172713303e-07,1.57079632673837
0.00104192544857669,-0.000125660276331803,-3.25968954160044e-05,-0.000342202354327597,77.000000000068,-148.000000000262,-1.98138461152879e-07,1.57079632672179
0.00145153551631409,-0.00015593665118485,-4.04890628430922e-05,-0.000422077601035442,77.0000000001735,-148.000000000669,-3.54731420503154e-07,1.57079632660864
0.0018611455840515,-0.000178942911757415,-4.6519544525642e-05,-0.000480530289595315,77.0000000003465,-148.000000001336,-5.381491032327e-07,1.57079632642397
0.00269973031960632,-0.000226669297141339,-5.63816985687935e-05,-0.000563294356236438,77.0000000009459,-148.00000000366,-9.75181127460006e-07,1.57079632579023
0.00353831505516114,-0.000334745395221491,-8.03195443080144e-05,-0.000749065802959301,77.0000000019888,-148.000000007788,-1.53962856753175e-06,1.57079632471824
0.00437689979071596,-0.000509376061030879,-0.000122327939502035,-0.00104683005871928,77.0000000035999,-148.000000014263,-2.29267550948144e-06,1.5707963231129
0.00521548452627078,-0.000714625813974642,-0.00017781227647972,-0.00133787093852466,77.0000000061456,-148.000000024552,-3.29163655588432e-06,1.57079632073758
0.00583549631719196,-0.000856000828927303,-0.000221023801379874,-0.00146416191740856,77.0000000087484,-148.000000035047,-4.16137799818703e-06,1.570796318427
0.00645550810811314,-0.000918316811565589,-0.000249425656787371,-0.00135052623056404,77.0000000121876,-148.000000048728,-5.00951993192698e-06,1.57079631558617
0.00707551989903432,-0.000863197859615561,-0.000252396988832128,-0.000941739262178454,77.0000000165193,-148.000000065689,-5.72153848209178e-06,1.57079631225774
0.0076955316899555,-0.000632270301044816,-0.000211029016217357,-0.00022552586324312,77.0000000217302,-148.000000085574,-6.05209711008527e-06,1.57079630864668
0.00831554348087668,-0.000219320301024193,-0.000119739914482372,0.000701258845790553,77.0000000276966,-148.00000010774,-5.90437935072257e-06,1.57079630493758
0.00893555527179786,0.000332867902058387,1.76778947516954e-05,0.00157596182745326,77.0000000339781,-148.000000130233,-5.20373015742678e-06,1.57079630155029
0.00955556706271904,0.00094792145920271,0.000184241814798067,0.00219072683024136,77.000000040231,-148.000000151695,-4.033660150411e-06,1.5707962986859
0.0101755788536402,0.00144390531763882,0.000332635875290455,0.00228513196486176,77.000000045712,-148.000000169385,-2.69909765186763e-06,1.57079629661545
0.0107955906445614,0.00172171167637973,0.000432883898190275,0.0018430220923098,77.0000000500855,-148.000000182203,-1.41821567808095e-06,1.57079629534078
0.0114156024354826,0.00168222086199748,0.000446704941482268,0.00115327820827582,77.0000000529069,-148.000000188882,-5.14557616797527e-07,1.5707962947032
0.0123153369873465,0.00121016248470911,0.000336929531470586,0.000442982424990176,77.0000000543111,-148.00000018835,1.97935668112688e-07,1.5707962945616
0.0132150715392104,0.000734177019399384,0.000195320576517913,0.000580269573754146,77.000000053302,-148.000000178868,7.8349275698617e-07,1.57079629498436
0.0138282075412103,0.000548717999911517,0.000122638319488492,0.000993547885927405,77.0000000514993,-148.000000168177,1.26637748629957e-06,1.57079629561181
0.0144413435432102,0.000611508959313284,0.000117730057490089,0.00131762278109537,77.0000000491796,-148.000000155175,1.96592703322971e-06,1.57079629662455
0.0150544795452101,0.000822412415553115,0.000160462481726654,0.00134183614069835,77.0000000463461,-148.000000139699,2.78298946632856e-06,1.57079629808107
0.01566761554721,0.000970652323431939,0.000201060918817864,0.000976569762679112,77.0000000428975,-148.00000012116,3.4545236639314e-06,1.57079629997864
0.0162807515492099,0.000977987863999145,0.000216465989277781,0.000408786413279582,77.0000000387557,-148.000000099288,3.87809557515041e-06,1.57079630222769
0.0168938875512098,0.00083064838555048,0.000193968562205668,9.23097483086208e-05,77.0000000338681,-148.00000007406,4.05701850104338e-06,1.57079630463571
0.0175070235532097,0.000609327671606426,0.000149546382565147,0.000160457307773079,77.0000000282901,-148.000000045822,4.13338331204401e-06,1.57079630714597
0.0181201595552096,0.000455975716781673,0.000114563756241954,0.000478033117841113,77.0000000221734,-148.000000015367,4.35423779183546e-06,1.57079630976255
0.0190004607661956,0.000390968014200026,9.3863302549401e-05,0.000802662843148239,77.0000000126087,-147.99999996844,4.92166881865251e-06,1.5707963138457
0.0198807619771816,0.000385429361658578,8.89292155060907e-05,0.000551237563421838,77.0000000023045,-147.999999918426,5.43431588614446e-06,1.57079631839598
0.0207610631881677,0.0003271499571721,7.61485064745827e-05,-1.98629081549894e-06,76.9999999913151,-147.999999865505,5.6736999371045e-06,1.57079632328693
0.0216413643991537,0.000168632348837531,4.48961243194253e-05,-0.00018949886938929,76.9999999798258,-147.999999810512,5.64228387349227e-06,1.57079632822852
0.0225216656101397,-9.63542405794722e-06,1.11670670473272e-05,1.8961439339855e-05,76.9999999679793,-147.999999754176,5.56749066872695e-06,1.57079633316148
0.0234019668211257,-0.000112808916367276,-7.96890391815078e-06,0.000185934139241209,76.9999999560427,-147.999999697892,5.65167848730146e-06,1.57079633812259
0.0249007580810607,-0.000219450502232242,-3.19996952133748e-05,-7.9958408426326e-05,76.9999999358573,-147.999999603916,5.73142409657635e-06,1.57079634665776
0.0263995493409957,-0.000352246246483997,-6.5350730049655e-05,-0.000375552689018188,76.9999999165587,-147.999999515434,5.38275591197556e-06,1.57079635488123
0.0281997746704978,-0.000497324934950612,-0.000102312829239805,-0.000381550113462861,76.9999998952399,-147.999999419192,4.7014174104763e-06,1.57079636395844
0.03,-0.000562504898353128,-0.000121396765621767,-0.000398065781112404,76.9999998771222,-147.999999338421,3.99656595926791e-06,1.57079637178065
0.0330149778682997,-0.000546700202604666,-0.000127316233424501,-0.000589364303157778,76.9999998550134,-147.999999240893,2.50333434745929e-06,1.57079638158248
0.0360299557365993,-0.000452002381616288,-0.000113942534967424,-0.000569207904080135,76.9999998435815,-147.999999188738,8.61491028114763e-07,1.57079638658134
0.0399421414159776,-0.000262096130737699,-7.16549979700797e-05,-0.000321631468407423,76.9999998427021,-147.99999917754,-8.81605791059288e-07,1.5707963865127
0.0438543270953559,-4.44518348191305e-05,-1.66604543449565e-05,-5.55443220275314e-05,76.9999998506425,-147.999999198944,-1.6075044520474e-06,1.57079638229726
0.0477665127747341,0.000176216537672485,3.97263632620418e-05,0.000212323884100542,76.9999998621599,-147.999999231837,-1.29750996282806e-06,1.57079637659333
0.0516786984541124,0.000311647059010089,7.32102150950053e-05,0.00036491188821988,76.9999998677877,-147.999999238275,-2.42443172516421e-07,1.5707963740597
